id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
278798,9485,125,LI,451,02,,Nendeln,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278799,9486,125,LI,455,04,,Schaanwald,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278800,9487,125,LI,457,03,,Bendern,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278801,9488,125,LI,449,08,,Schellenberg,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278802,9490,125,LI,452,11,,Vaduz,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278803,9491,125,LI,453,06,,Ruggell,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278804,9492,125,LI,451,02,,Eschen,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278805,9493,125,LI,455,04,,Mauren,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278806,9494,125,LI,450,07,,Schaan,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278807,9495,125,LI,459,09,,Triesen,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278808,9496,125,LI,458,01,,Balzers,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278809,9497,125,LI,456,10,,Triesenberg,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
278810,9498,125,LI,454,05,,Planken,full,,,manual,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
