id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
669926,00100,208,LK,2815,11,,Colombo 1,full,6.87587000,79.86067390,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669927,00110,208,LK,2815,11,,Colombo Secretariant,full,6.93883020,79.85597300,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669928,00200,208,LK,2815,11,,Colombo 2,full,6.91993310,79.85402740,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669929,00276,208,LK,2815,11,,Melle Street,full,6.92707860,79.86124300,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669930,00279,208,LK,2815,11,,Rifel Street,full,6.92381440,79.85049130,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669931,00300,208,LK,2815,11,,Colombo 3,full,6.89893440,79.85376720,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669932,00370,208,LK,2815,11,,Gem & Jewelry,full,6.93265290,79.84416100,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669933,00376,208,LK,2815,11,,Torington Square,full,6.90353830,79.86810980,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669934,00377,208,LK,2815,11,,National Museum of Colombo,full,6.91045550,79.86099250,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669935,00400,208,LK,2815,11,,Colombo 4,full,6.89613350,79.85714750,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669936,00500,208,LK,2815,11,,Colombo 5,full,6.88879470,79.86630240,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669937,00510,208,LK,2815,11,,Colombo Labour Sec,full,6.89200690,79.87642540,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669938,00576,208,LK,2815,11,,Polhengoda,full,6.88105880,79.88013350,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669939,00577,208,LK,2815,11,,Anderson Plats,full,6.89017040,79.87296210,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669940,00579,208,LK,2815,11,,Keppetipola Mawatha,full,6.92800620,79.88757070,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669941,00582,208,LK,2815,11,,Narahenpita,full,6.89759340,79.88148300,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669942,00600,208,LK,2815,11,,Colombo 6,full,6.87465790,79.86048310,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669943,00677,208,LK,2815,11,,Kirulapana,full,6.88147170,79.87634760,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669944,00700,208,LK,2815,11,,Colombo 7,full,6.91166520,79.86456780,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669945,00710,208,LK,2815,11,,University of Colombo,full,6.90001490,79.85879380,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669946,00779,208,LK,2815,11,,Colombo General Hospital,full,6.91874290,79.86899200,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669947,00800,208,LK,2815,11,,Colombo 8,full,6.91217960,79.88288280,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669948,00876,208,LK,2815,11,,Gothami Road,full,6.91453560,79.88735650,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669949,00877,208,LK,2815,11,,Wanathamulla,full,6.92670930,79.88148300,sri-lanka-post-via-madurapa,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
