id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
283974,MD-2000,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283975,MD-2001,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283976,MD-2002,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283977,MD-2003,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283978,MD-2004,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283979,MD-2005,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283980,MD-2008,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283981,MD-2009,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283982,MD-2011,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283983,MD-2012,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283984,MD-2015,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283985,MD-2017,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
283986,MD-2019,144,MD,4373,CU,,Chişinău,full,47.00560000,28.85750000,posta-moldovei-via-vasilcovsky,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
