id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
285404,0101001,151,MM,2143,11,,"Aye Yar Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285405,0101002,151,MM,2143,11,,"Thi Dar Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285406,0101003,151,MM,2143,11,,"Yan Gyi Aung Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285407,0101004,151,MM,2143,11,,"Du Ka Htaung Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285408,0101005,151,MM,2143,11,,"Myo Ma Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285409,0101006,151,MM,2143,11,,"Min Yat Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285410,0101007,151,MM,2143,11,,"Shan Su (North) Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285411,0101008,151,MM,2143,11,,"Shan Su (South) Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285412,0101009,151,MM,2143,11,,"Kachin Su Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285413,0101010,151,MM,2143,11,,"Kyun Pin Thar Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285414,0101011,151,MM,2143,11,,"Aye Zay Di Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285415,0101012,151,MM,2143,11,,"Shwe Nyaung Pin Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
285416,0101013,151,MM,2143,11,,"Myo Thit Quarter, Myitkyina Township",full,,,myanmar-post-official,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
