id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
302735,11000,146,MN,5453,001,,Ulaanbaatar,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302736,12000,146,MN,5453,001,,Baganuur,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302737,12001,146,MN,5453,001,,Хэрлэн голын хөвөө-1,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302738,12002,146,MN,5453,001,,Улаан эрэг,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302739,12003,146,MN,5453,001,,Нарийн нуур,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302740,12004,146,MN,5453,001,,Нугийн тал,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302741,12005,146,MN,5453,001,,Тариан булаг-1,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302742,12006,146,MN,5453,001,,Тариан булаг-2,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302743,12007,146,MN,5453,001,,Хэрлэн голын хөвөө-2,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302744,12008,146,MN,5453,001,,Хүрмэнтийн хөндий,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302745,12009,146,MN,5453,001,,Дунд байдлаг,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302746,12010,146,MN,5453,001,,Талын толгой,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302747,12020,146,MN,5453,001,,Тогос уул,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302748,12030,146,MN,5453,001,,Их гүн,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
302749,12040,146,MN,5453,001,,Хэрлэн,full,,,mongol-shuudan-via-bekkaze,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
