id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
305347,ATD 1010,135,MT,,,,Triq Tommaso Dingli,full,35.89106400,14.44368600,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305348,ATD 1011,135,MT,,,,Triq Tommaso Dingli,full,35.89106400,14.44368600,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305349,ATD 1013,135,MT,,,,Triq Tommaso Dingli,full,35.89106400,14.44368600,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305350,ATD 1020,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305351,ATD 1021,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305352,ATD 1022,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305353,ATD 1023,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305354,ATD 1024,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305355,ATD 1025,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305356,ATD 1026,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305357,ATD 1027,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305358,ATD 1028,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305359,ATD 1029,135,MT,,,,Triq il-Kbira,full,35.89179800,14.44367300,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305360,ATD 1040,135,MT,,,,Misrah il-Knisja,full,35.89244000,14.44309600,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305361,ATD 1051,135,MT,,,,Triq Santa Marija,full,35.89019600,14.44267000,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
305362,ATD 1060,135,MT,,,,Triq Il-Pjazzetta,full,35.89081200,14.44242200,maltapost-via-lucamuscat,,2026-04-28T06:49:08,2026-04-28T06:49:08,1
