id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
331940,11101,140,MU,,,,"Camp Firinga, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331941,11101,140,MU,,,,"Camp Firinga, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331942,11102,140,MU,,,,"Cite Blanc ( Padco ), Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331943,11102,140,MU,,,,"Cite Blanc /Sugar Planters, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331944,11103,140,MU,,,,"Cite C.H.A/Cite Debarcadere, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331945,11103,140,MU,,,,"Cite Debarcadere / CHA, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331946,11104,140,MU,,,,"Cite Ilois Phase 1 and 2, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331947,11104,140,MU,,,,"Cite Ilois Phase I & phase II, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331948,11105,140,MU,,,,"Cite Lateka, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331949,11105,140,MU,,,,"Cite Lateka, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331950,11106,140,MU,,,,"Cite La Lumiere, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331951,11106,140,MU,,,,"Cite La Lumiere, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331952,11107,140,MU,,,,"Kensington, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331953,11107,140,MU,,,,"Kensington, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331954,11108,140,MU,,,,"La Tour Koenig Phase 1 and 2, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331955,11108,140,MU,,,,"La Tour Koenig Phase I & Phase 2, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331956,11109,140,MU,,,,"La Tour Koenig Industrial Zone, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331957,11109,140,MU,,,,"La Tour Koenig Industrial Zone, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331958,11110,140,MU,,,,"Marguerite Phase 1, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331959,11110,140,MU,,,,"Marguerite Phase 1, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331960,11111,140,MU,,,,"Morcellement D'Hotman, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331961,11111,140,MU,,,,"Morcellement D'Hotman, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331962,11112,140,MU,,,,"Morcellement Fon Sing, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331963,11112,140,MU,,,,"Morcellement Fon Sing, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331964,11113,140,MU,,,,"Morcellement Fortune, PORT LOUIS",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
331965,11113,140,MU,,,,"Morcellement Fortune, Pointe aux Sables",full,,,mauritius-post-via-Samimveza,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
