id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
336747,0101,150,MZ,3335,MPM,,KaMpfumo,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336748,0102,150,MZ,3335,MPM,,Nhlamankulu,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336749,0103,150,MZ,3335,MPM,,KaMaxakeni,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336750,0104,150,MZ,3335,MPM,,KaMavota,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336751,0105,150,MZ,3335,MPM,,KaMubukwana,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336752,0106,150,MZ,3335,MPM,,KaTembe,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336753,0107,150,MZ,3335,MPM,,KaNyaka,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336754,0201,150,MZ,3332,L,,Matutuíne,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336755,0202,150,MZ,3332,L,,Namaacha,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336756,0203,150,MZ,3332,L,,Boane,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336757,0204,150,MZ,3332,L,,Matola,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336758,0205,150,MZ,3332,L,,Marracuene,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336759,0206,150,MZ,3332,L,,Moamba,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336760,0207,150,MZ,3332,L,,Manhiça,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336761,0208,150,MZ,3332,L,,Magude,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336762,0301,150,MZ,3329,G,,Chongoene,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336763,0302,150,MZ,3329,G,,Xai-Xai,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336764,0303,150,MZ,3329,G,,Limpopo,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336765,0304,150,MZ,3329,G,,Bilene,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336766,0305,150,MZ,3329,G,,Mandlakazi,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336767,0306,150,MZ,3329,G,,Chibuto,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336768,0307,150,MZ,3329,G,,Chókwè,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336769,0308,150,MZ,3329,G,,Guijá,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336770,0309,150,MZ,3329,G,,Chigubo,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336771,0310,150,MZ,3329,G,,Mabalane,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336772,0311,150,MZ,3329,G,,Massingir,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336773,0312,150,MZ,3329,G,,Mapai,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336774,0313,150,MZ,3329,G,,Chicualacuala,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
336775,0314,150,MZ,3329,G,,Massangena,full,,,correios-mocambique-via-PauloPhagula,,2026-04-28T06:49:09,2026-04-28T06:49:09,1
