id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
816579,10000,152,NA,44,KH,,Windhoek Office of Exchange,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816580,10001,152,NA,44,KH,,Parcel Depot,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816581,10002,152,NA,44,KH,,Omeya Kiosk,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816582,10003,152,NA,44,KH,,GAME Kiosk,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816583,10004,152,NA,44,KH,,Hybrid Mail,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816584,10005,152,NA,44,KH,,Windhoek,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816585,10006,152,NA,44,KH,,Wika Service Station Kiosk,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816586,10007,152,NA,44,KH,,Bachbrecht,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816587,10008,152,NA,44,KH,,Dordabis,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816588,10009,152,NA,44,KH,,Eros,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816589,10010,152,NA,44,KH,,Government Office Park Kiosk,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816590,10011,152,NA,44,KH,,Khomasdal,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816591,10012,152,NA,44,KH,,Klein Windhoek,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816592,10013,152,NA,44,KH,,Wernhill Pick n Pay,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816593,10014,152,NA,44,KH,,Rocky Crest,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816594,10015,152,NA,44,KH,,Windhoek Central Prison,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816595,10016,152,NA,44,KH,,Hosea Kutako Airport,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816596,10017,152,NA,44,KH,,Ausspannplatz,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816597,10018,152,NA,44,KH,,Auas Valley,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816598,10019,152,NA,44,KH,,Kleine Kuppe,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816599,10020,152,NA,44,KH,,Maerua Mall,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816600,10021,152,NA,44,KH,,Olympia,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816601,10022,152,NA,44,KH,,Pelican Square,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816602,10023,152,NA,44,KH,,Pionierspark,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816603,10024,152,NA,44,KH,,Pionierspark Motors Kiosk,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816604,10025,152,NA,44,KH,,Prosperita,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816605,10026,152,NA,44,KH,,University of Namibia,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816606,10027,152,NA,44,KH,,Craft Center,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816607,10028,152,NA,44,KH,,Katutura,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816608,10029,152,NA,44,KH,,China Town,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816609,10030,152,NA,44,KH,,Goreangab,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816610,10031,152,NA,44,KH,,Okuryangava,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816611,10032,152,NA,44,KH,,Otjomuise,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816612,10033,152,NA,44,KH,,Soweto,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816613,10034,152,NA,44,KH,,Wanaheda,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816614,11001,152,NA,41,OH,,Gobabis,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816615,11002,152,NA,41,OH,,Aminius,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816616,11003,152,NA,41,OH,,Epukiro,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816617,11004,152,NA,41,OH,,Leonardville,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816618,11005,152,NA,41,OH,,Tallismanus,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816619,11006,152,NA,41,OH,,Witvlei,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816620,11007,152,NA,41,OH,,Omitara,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816621,11008,152,NA,41,OH,,Otjinene,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816622,12001,152,NA,46,OD,,Otjiwarongo,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816623,12002,152,NA,46,OD,,Hochfeld,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816624,12003,152,NA,46,OD,,Okahandja West,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816625,12004,152,NA,46,OD,,Okahandja,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816626,12005,152,NA,46,OD,,Okakarara,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816627,12006,152,NA,46,OD,,Okamatapati,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816628,12007,152,NA,46,OD,,Okondjatu,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816629,12008,152,NA,46,OD,,Osire,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816630,12009,152,NA,46,OD,,Kalkfeld,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816631,12010,152,NA,46,OD,,Grootfontein,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816632,12011,152,NA,46,OD,,Tsumkwe,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816633,12012,152,NA,46,OD,,Kombat,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816634,12013,152,NA,46,OD,,Otavi,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816635,13001,152,NA,43,ER,,Swakopmund,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816636,13002,152,NA,43,ER,,Woermann & Brock Centre Kiosk,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816637,13003,152,NA,43,ER,,Vineta,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816638,13004,152,NA,43,ER,,Mondesa,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816639,13005,152,NA,43,ER,,Henties Bay,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816640,13006,152,NA,43,ER,,Arandis,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816641,13007,152,NA,43,ER,,Usakos,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
816642,13008,152,NA,43,ER,,Karibib,full,,,nampost-via-kuberkode,,2026-05-24T12:02:11,2026-05-24T12:02:11,1
