id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
345761,10100,154,NP,,,,Darchula,full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345762,10101,154,NP,,,,"Rapla, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345763,10102,154,NP,,,,"Duhuti, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345764,10104,154,NP,,,,"Malikarjun, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345765,10105,154,NP,,,,"Joljibi, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345766,10106,154,NP,,,,"Dandakot, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345767,10107,154,NP,,,,"Ritha Chaupata, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345768,10108,154,NP,,,,"Gokule, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345769,10109,154,NP,,,,"Sitola, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345770,10110,154,NP,,,,"Marmalatinath, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345771,10111,154,NP,,,,"Sipti, Darchula",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345772,10200,154,NP,,,,Baitadi,full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345773,10201,154,NP,,,,"Kesharpur, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345774,10202,154,NP,,,,"Patan, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345775,10203,154,NP,,,,"Khodpe, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345776,10204,154,NP,,,,"Mulkhatali, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345777,10205,154,NP,,,,"Gajari Changgad, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345778,10207,154,NP,,,,"Dehimandau, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345779,10209,154,NP,,,,"Sharmali, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345780,10210,154,NP,,,,"Srikot, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345781,10211,154,NP,,,,"Dilasaini, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345782,10212,154,NP,,,,"Swopana Taladehi, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345783,10213,154,NP,,,,"Purchaudihat, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345784,10214,154,NP,,,,"Sitad, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345785,10215,154,NP,,,,"Dhungad, Baitadi",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345786,10300,154,NP,,,,Dadeldhura,full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345787,10302,154,NP,,,,"Ugratara, Dadeldhura",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
345788,10303,154,NP,,,,"Dandaban, Dadeldhura",full,,,nepal-post-via-sprupak07,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
