id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
820802,0101,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.74872870,174.31084150,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820803,0110,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.73647822,174.32806168,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820804,0112,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.69636701,174.31469009,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820805,0114,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.59783240,174.28677215,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820806,0116,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.88266820,174.45118160,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820807,0118,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.82714155,174.45830390,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820808,0143,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.74531640,174.27314180,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820809,0170,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.75477037,174.20820433,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820810,0171,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.89868410,174.44054730,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820811,0173,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.65339123,174.40218053,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820812,0174,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.78037574,174.48745422,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820813,0179,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.75196390,174.23106340,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820814,0181,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.51386610,174.45337430,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820815,0182,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.54167720,174.27688070,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820816,0184,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.37834370,174.31686030,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820817,0192,158,NZ,4059,NTL,,"Whangarei District, Northland",full,-35.76247100,174.54031360,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820818,0202,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.26264993,174.12269009,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820819,0204,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.26060990,174.04870490,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820820,0210,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.38217586,174.06746578,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820821,0211,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.38940417,174.01604110,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820822,0230,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.22476831,173.95426789,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820823,0247,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.27815335,174.08619490,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820824,0252,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.28118960,174.09240830,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820825,0293,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.24221539,173.93490538,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820826,0294,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.18481353,173.94368294,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820827,0295,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.20714186,173.92962660,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820828,0310,158,NZ,4059,NTL,,"Kaipara District, Northland",full,-35.93716645,173.87039941,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820829,0312,158,NZ,4072,AUK,,"Hibiscus and Bays, Auckland",full,-36.62365120,174.67080910,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820830,0381,158,NZ,4059,NTL,,"Kaipara District, Northland",full,-35.82196870,174.04847470,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820831,0405,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.40703022,173.80130266,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820832,0410,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-35.11440219,173.26308721,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820833,0420,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-34.99091118,173.51284244,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820834,0441,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-35.11453770,173.26442780,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820835,0444,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.53193360,173.39022740,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820836,0448,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.09982410,173.77862900,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820837,0451,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-35.04112660,173.25612880,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820838,0452,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.40317280,173.50596200,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820839,0453,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.36114445,173.54420590,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820840,0462,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.26054280,173.39319290,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820841,0472,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.34841052,173.92905810,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820842,0473,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.39361230,173.50472537,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820843,0475,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.31040403,173.78771813,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820844,0476,158,NZ,4059,NTL,,"Kaikohe-Hokianga Community, Far North District",full,-35.28525600,173.57428150,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820845,0478,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.10095890,173.78199250,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820846,0479,158,NZ,4059,NTL,,"Bay of Islands-Whangaroa Community, Far North District",full,-35.03880480,173.71951620,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820847,0481,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-35.16742827,173.15639067,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820848,0482,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-35.09999137,173.29985680,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820849,0483,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-35.02493560,173.33066920,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
820850,0484,158,NZ,4059,NTL,,"Te Hiku Community, Far North District",full,-34.70604364,173.02243746,osm-via-waimate-wihongi,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
