id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
346678,1000,174,PH,5324,00,,Ermita,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346679,1001,174,PH,5324,00,,Quiapo,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346680,1002,174,PH,5324,00,,Intramuros,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346681,1003,174,PH,5324,00,,Sta. Cruz (South),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346682,1004,174,PH,5324,00,,Malate,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346683,1007,174,PH,5324,00,,Paco,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346684,1008,174,PH,5324,00,,Sampaloc (East),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346685,1009,174,PH,5324,00,,Sta. Ana,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346686,1010,174,PH,5324,00,,San Nicolas,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346687,1011,174,PH,5324,00,,Pandacan,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346688,1012,174,PH,5324,00,,Tondo (South),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346689,1013,174,PH,5324,00,,Tondo (North),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346690,1014,174,PH,5324,00,,Sta. Cruz (North),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346691,1015,174,PH,5324,00,,Sampaloc (West),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346692,1016,174,PH,5324,00,,Sta. Mesa,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346693,1017,174,PH,5324,00,,San Andres Bukid,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346694,1018,174,PH,5324,00,,Port Area (South),full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346695,1100,174,PH,5324,00,,Piñahan,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346696,1100,174,PH,5324,00,,Project 6,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346697,1100,174,PH,5324,00,,Quezon City,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346698,1100,174,PH,5324,00,,Quezon City CPO,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346699,1101,174,PH,5324,00,,Botocan,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346700,1101,174,PH,5324,00,,Diliman,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346701,1101,174,PH,5324,00,,Krus Na Ligas,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346702,1101,174,PH,5324,00,,Malaya,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346703,1101,174,PH,5324,00,,Old Capitol Site,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346704,1101,174,PH,5324,00,,San Vicente,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346705,1101,174,PH,5324,00,,Sikatuna Village,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346706,1101,174,PH,5324,00,,Teachers Village,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346707,1101,174,PH,5324,00,,UP Village,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
346708,1101,174,PH,5324,00,,Univ. of the Phils. PO,full,,,phlpost-via-jayson-panganiban,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
