id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
348069,00-001,176,PL,1637,14,,Warszawa,full,52.23538200,21.01035300,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348070,00-002,176,PL,1637,14,,Warszawa,full,52.23634140,21.01310920,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348071,00-003,176,PL,1637,14,,Warszawa,full,52.23677440,21.01055240,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348072,00-004,176,PL,1637,14,,Warszawa,full,52.23313140,21.00992010,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348073,00-005,176,PL,1637,14,,Warszawa,full,52.23653900,21.00907130,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348074,00-006,176,PL,1637,14,,Warszawa,full,52.23651120,21.00902930,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348075,00-007,176,PL,1637,14,,Warszawa,full,52.23677440,21.01055240,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348076,00-008,176,PL,1637,14,,Warszawa,full,52.23313140,21.00992010,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348077,00-009,176,PL,1637,14,,Warszawa,full,52.23464200,21.01002220,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348078,00-010,176,PL,1637,14,,Warszawa,full,52.23442450,21.01271820,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348079,00-011,176,PL,1637,14,,Warszawa,full,52.23382940,21.01361270,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348080,00-012,176,PL,1637,14,,Warszawa,full,52.23354330,21.01101300,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348081,00-013,176,PL,1637,14,,Warszawa,full,52.23677440,21.01055240,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
348082,00-014,176,PL,1637,14,,Warszawa,full,52.23464200,21.01002220,kody-pocztowe-geo,,2026-04-28T06:49:10,2026-04-28T06:49:10,1
