id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
824464,00601,178,PR,5134,001,,Adjuntas,full,18.18055500,-66.74996100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824465,00602,178,PR,5135,003,,Aguada,full,18.36194500,-67.17559700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824466,00603,178,PR,5136,005,,Aguadilla,full,18.45739900,-67.12486700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824467,00606,178,PR,5181,093,,Maricao,full,18.15832700,-66.93292800,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824468,00610,178,PR,5139,011,,Añasco,full,18.29530400,-67.12518000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824469,00611,178,PR,5205,141,,Utuado,full,18.27631600,-66.80716500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824470,00612,178,PR,5081,AR,,Arecibo,full,18.41672700,-66.70009000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824471,00616,178,PR,5081,AR,,Arecibo,full,18.42040800,-66.67198600,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824472,00617,178,PR,5180,091,,Manatí,full,18.44688900,-66.56115400,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824473,00622,178,PR,5145,023,,Cabo Rojo,full,17.98810300,-67.16035700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824474,00623,178,PR,5145,023,,Cabo Rojo,full,18.08437100,-67.15876500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824475,00624,178,PR,5190,111,,Peñuelas,full,18.05180800,-66.72171100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824476,00627,178,PR,5147,027,,Camuy,full,18.41242300,-66.86370800,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824477,00631,178,PR,5134,001,,Adjuntas,full,18.18429400,-66.83079500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824478,00636,178,PR,5168,067,,Hormigueros,full,18.16360000,-67.08009700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824479,00637,178,PR,5195,121,,Sabana Grande,full,18.08010300,-66.94797500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824480,00638,178,PR,5153,039,,Ciales,full,18.28018800,-66.51311100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824481,00641,178,PR,5205,141,,Utuado,full,18.26807400,-66.70178500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824482,00646,178,PR,5082,TB,,Toa Baja,full,18.43289700,-66.28649900,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824483,00647,178,PR,5162,055,,Guánica,full,17.96361300,-66.94712700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824484,00650,178,PR,5180,091,,Manatí,full,18.34920900,-66.57811200,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824485,00652,178,PR,5180,091,,Manatí,full,18.44844600,-66.59411100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824486,00653,178,PR,5162,055,,Guánica,full,17.98864200,-66.90169000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824487,00656,178,PR,5164,059,,Guayanilla,full,18.04046700,-66.78968000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824488,00659,178,PR,5167,065,,Hatillo,full,18.40730400,-66.80899500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824489,00660,178,PR,5168,067,,Hormigueros,full,18.13469500,-67.11619900,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824490,00662,178,PR,5192,115,,Quebradillas,full,18.46830100,-67.01574900,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824491,00664,178,PR,5171,073,,Jayuya,full,18.21033000,-66.59161600,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824492,00667,178,PR,5174,079,,Lajas,full,18.00342200,-67.03581000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824493,00669,178,PR,5181,093,,Maricao,full,18.27692500,-66.86958700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824494,00670,178,PR,5181,093,,Maricao,full,18.23358500,-66.98758500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824495,00674,178,PR,5180,091,,Manatí,full,18.42414500,-66.48789500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824496,00676,178,PR,5184,099,,Moca,full,18.38159700,-67.08088400,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824497,00677,178,PR,5193,117,,Rincón,full,18.33256800,-67.22702200,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824498,00678,178,PR,5192,115,,Quebradillas,full,18.43050300,-66.93047900,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824499,00680,178,PR,5083,MG,,Mayagüez,full,18.18349300,-67.13305400,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824500,00682,178,PR,5083,MG,,Mayagüez,full,18.22486400,-67.15389100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824501,00683,178,PR,5197,125,,San Germán,full,18.10780000,-67.03726300,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824502,00685,178,PR,5192,115,,Quebradillas,full,18.33688700,-66.97292900,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824503,00687,178,PR,5185,101,,Morovis,full,18.31801700,-66.42039200,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824504,00688,178,PR,5180,091,,Manatí,full,18.38230500,-66.62639300,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824505,00690,178,PR,5136,005,,Aguadilla,full,18.49354300,-67.09691500,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824506,00692,178,PR,5206,143,,Vega Alta,full,18.41065200,-66.33620200,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824507,00693,178,PR,5207,145,,Vega Baja,full,18.42596100,-66.39809800,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824508,00694,178,PR,5207,145,,Vega Baja,full,18.48312700,-66.39236000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824509,00698,178,PR,5211,153,,Yauco,full,18.07291600,-66.85119000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824510,00703,178,PR,5137,007,,Aguas Buenas,full,18.24840100,-66.13066200,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824511,00704,178,PR,5163,057,,Guayama,full,17.97316800,-66.22901100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824512,00705,178,PR,5138,009,,Aibonito,full,18.12896000,-66.26669100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824513,00707,178,PR,5182,095,,Maunabo,full,18.01405500,-65.92075100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824514,00714,178,PR,5141,015,,Arroyo,full,17.99586700,-66.05552900,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824515,00715,178,PR,5078,PO,,Ponce,full,17.99048500,-66.56614300,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824516,00716,178,PR,5078,PO,,Ponce,full,17.98501400,-66.60672100,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824517,00717,178,PR,5078,PO,,Ponce,full,18.00263900,-66.61108700,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824518,00718,178,PR,5186,103,,Naguabo,full,18.23201000,-65.75603600,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824519,00719,178,PR,5187,105,,Naranjito,full,18.28992000,-66.25344000,us-census-via-pr-mirror,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
