id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
545160,7540-510,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545161,7540-511,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545162,7540-512,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545163,7540-513,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545164,7540-514,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545165,7540-515,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545166,7540-516,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545167,7540-517,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545168,7540-518,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545169,7540-519,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545170,7540-520,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545171,7540-521,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545172,7540-522,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545173,7540-523,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545174,7540-550,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545175,7540-551,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545176,7540-553,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545177,7540-555,177,PT,2242,15,,SÃO FRANCISCO DA SERRA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545178,7540-600,177,PT,2242,15,,VALE DE ÁGUA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545179,7540-605,177,PT,2242,15,,VALE DE ÁGUA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545180,7540-610,177,PT,2242,15,,VALE DE ÁGUA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545181,7540-650,177,PT,2242,15,,VALE DE ÁGUA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545182,7540-996,177,PT,2242,15,,SÃO DOMINGOS,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545183,7540-997,177,PT,2242,15,,VALE DE ÁGUA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545184,7540-998,177,PT,2242,15,,ABELA,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545185,7540-999,177,PT,2242,15,,SANTIAGO DO CACÉM,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545186,7555-011,177,PT,2242,15,,CERCAL DO ALENTEJO,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545187,7555-012,177,PT,2242,15,,CERCAL DO ALENTEJO,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
545188,7555-013,177,PT,2242,15,,CERCAL DO ALENTEJO,full,,,ctt,,2026-04-28T06:49:17,2026-04-28T06:49:17,1
