id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
824596,001001,172,PY,5221,ASU,,"SAJONIA, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824597,001002,172,PY,5221,ASU,,"ITA PYTA PUNTA, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824598,001003,172,PY,5221,ASU,,"SAN ANTONIO, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824599,001004,172,PY,5221,ASU,,"SAN ANTONIO, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824600,001005,172,PY,5221,ASU,,"SAN ANTONIO, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824601,001006,172,PY,5221,ASU,,"PRESIDENTE CARLOS ANTONIO LÓPEZ, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824602,001007,172,PY,5221,ASU,,"PRESIDENTE CARLOS ANTONIO LÓPEZ, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824603,001008,172,PY,5221,ASU,,"PRESIDENTE CARLOS ANTONIO LÓPEZ, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824604,001009,172,PY,5221,ASU,,"DR. GASPAR RODRIGUEZ DE FRANCIA, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824605,001010,172,PY,5221,ASU,,"DR. GASPAR RODRIGUEZ DE FRANCIA, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824606,001011,172,PY,5221,ASU,,"DR. GASPAR RODRIGUEZ DE FRANCIA, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824607,001012,172,PY,5221,ASU,,"LA ENCARNACION, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824608,001013,172,PY,5221,ASU,,"LA ENCARNACION, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824609,001014,172,PY,5221,ASU,,"TACUMBU, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824610,001015,172,PY,5221,ASU,,"TACUMBU, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824611,001016,172,PY,5221,ASU,,"TACUMBU, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824612,001017,172,PY,5221,ASU,,"TACUMBU, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824613,001018,172,PY,5221,ASU,,"TACUMBU, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824614,001019,172,PY,5221,ASU,,"TACUMBU, LA ENCARNACIÓN",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824615,001101,172,PY,5221,ASU,,LA CATEDRAL,full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824616,001102,172,PY,5221,ASU,,"GRAL. JOSÉ EDUVIGIS DÍAZ, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824617,001103,172,PY,5221,ASU,,"GRAL. JOSÉ EDUVIGIS DÍAZ, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824618,001104,172,PY,5221,ASU,,"OBRERO INTENDENTE B. GUGGIARI, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824619,001105,172,PY,5221,ASU,,"OBRERO INTENDENTE B. GUGGIARI, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824620,001106,172,PY,5221,ASU,,"OBRERO INTENDENTE B. GUGGIARI, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824621,001107,172,PY,5221,ASU,,"OBRERO INTENDENTE B. GUGGIARI, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824622,001108,172,PY,5221,ASU,,"OBRERO INTENDENTE B. GUGGIARI, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824623,001109,172,PY,5221,ASU,,"ROBERTO L. PETIT, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824624,001110,172,PY,5221,ASU,,"ROBERTO L. PETIT, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824625,001111,172,PY,5221,ASU,,"ROBERTO L. PETIT, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824626,001112,172,PY,5221,ASU,,"SANTA ANA, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824627,001113,172,PY,5221,ASU,,"SANTA ANA, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824628,001114,172,PY,5221,ASU,,"SAN CAYETANO, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824629,001115,172,PY,5221,ASU,,"SAN CAYETANO, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824630,001116,172,PY,5221,ASU,,"SAN CAYETANO, LA CATEDRAL",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824631,001201,172,PY,5221,ASU,,"BANCO SAN MIGUEL, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824632,001202,172,PY,5221,ASU,,"SAN JUAN, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824633,001203,172,PY,5221,ASU,,"JARA, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824634,001204,172,PY,5221,ASU,,"JARA, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824635,001205,172,PY,5221,ASU,,"JARA, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824636,001206,172,PY,5221,ASU,,"VIRGEN DEL HUERTO, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824637,001207,172,PY,5221,ASU,,"MARISCAL FRANCISCO SOLANO LÓPEZ, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824638,001208,172,PY,5221,ASU,,"MARISCAL FRANCISCO SOLANO LÓPEZ, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824639,001209,172,PY,5221,ASU,,"LAS MERCEDES, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
824640,001210,172,PY,5221,ASU,,"LAS MERCEDES, SAN ROQUE",full,,,dinacopa-via-3lD4m14n,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
