id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
567189,010011,181,RO,4730,B,,BUCURESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567190,020010,181,RO,4730,B,,BUCURESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567191,030010,181,RO,4730,B,,BUCURESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567192,040010,181,RO,4730,B,,BUCURESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567193,050010,181,RO,4730,B,,BUCURESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567194,060010,181,RO,4730,B,,BUCURESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567195,070000,181,RO,4725,IF,,BUFTEA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567196,070001,181,RO,4725,IF,,BUCIUMENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567197,075100,181,RO,4725,IF,,OTOPENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567198,075101,181,RO,4725,IF,,ODAILE,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567199,075150,181,RO,4725,IF,,AEROPORTUL OTOPENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567200,077005,181,RO,4725,IF,,1 DECEMBRIE,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567201,077006,181,RO,4725,IF,,COPACENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567202,077010,181,RO,4725,IF,,AFUMATI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567203,077015,181,RO,4725,IF,,BALOTESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567204,077016,181,RO,4725,IF,,DUMBRAVENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567205,077017,181,RO,4725,IF,,SAFTICA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567206,077020,181,RO,4725,IF,,BERCENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567207,077025,181,RO,4725,IF,,BRAGADIRU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567208,077030,181,RO,4725,IF,,BRANESTI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567209,077031,181,RO,4725,IF,,ISLAZ,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567210,077032,181,RO,4722,AG,,PASAREA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567211,077033,181,RO,4725,IF,,VADU ANEI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567212,077035,181,RO,4725,IF,,CERNICA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567213,077036,181,RO,4725,IF,,BALACEANCA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567214,077037,181,RO,4725,IF,,CALDARARU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567215,077038,181,RO,4725,IF,,POSTA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567216,077039,181,RO,4725,IF,,TANGANU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567217,077040,181,RO,4725,IF,,CHIAJNA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567218,077041,181,RO,4725,IF,,DUDU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567219,077042,181,RO,4725,IF,,ROSU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567220,077045,181,RO,4725,IF,,CHITILA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567221,077046,181,RO,4725,IF,,RUDENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567222,077050,181,RO,4725,IF,,CIOLPANI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567223,077051,181,RO,4725,IF,,IZVORANI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567224,077052,181,RO,4725,IF,,LUPARIA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567225,077053,181,RO,4725,IF,,PISCU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567226,077055,181,RO,4725,IF,,CIOROGARLA,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567227,077056,181,RO,4725,IF,,DARVARI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567228,077060,181,RO,4725,IF,,CLINCENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567229,077061,181,RO,4725,IF,,OLTENI,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
567230,077062,181,RO,4725,IF,,ORDOREANU,full,,,ro-coduri-postale,,2026-04-28T06:49:18,2026-04-28T06:49:18,1
