id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
580940,11000,196,RS,,,,Beograd,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580941,11010,196,RS,,,,Beograd Voždovac,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580942,11030,196,RS,,,,Beograd Čukarica,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580943,11050,196,RS,,,,Beograd Zvezdara,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580944,11060,196,RS,,,,Beograd Palilula,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580945,11070,196,RS,,,,Novi Beograd,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580946,11080,196,RS,,,,Beograd Zemun,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580947,11090,196,RS,,,,Beograd Rakovica,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580948,11130,196,RS,,,,Kaluđerica,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580949,11194,196,RS,3728,00,,Rušanj,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580950,11211,196,RS,,,,Borča,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580951,11212,196,RS,3728,00,,Ovča,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580952,11213,196,RS,,,,Padinska Skela,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580953,11223,196,RS,,,,Beli Potok,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580954,11224,196,RS,,,,Vrčin,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580955,11225,196,RS,,,,Zuce,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580956,11226,196,RS,,,,Pinosava,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580957,11232,196,RS,,,,Ripanj,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580958,11233,196,RS,,,,Ralja,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580959,11235,196,RS,,,,Mali Požarevac,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
580960,11251,196,RS,3728,00,,Ostružnica,full,,,posta-srbije-via-nebjak,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
