id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
582110,100 04,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582111,100 05,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582112,100 12,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582113,100 19,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582114,100 26,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582115,100 28,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582116,100 29,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582117,100 31,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582118,100 40,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582119,100 41,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582120,100 44,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582121,100 52,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582122,100 54,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582123,100 55,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582124,100 61,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582125,100 64,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582126,100 73,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582127,100 74,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582128,101 01,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582129,101 10,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582130,101 20,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582131,101 21,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582132,101 22,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582133,101 23,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582134,101 24,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582135,101 25,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582136,101 26,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582137,101 27,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582138,101 28,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582139,101 29,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582140,101 30,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582141,101 31,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582142,101 32,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582143,101 33,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582144,101 34,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582145,101 35,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582146,101 36,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582147,101 37,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582148,101 38,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582149,101 39,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582150,101 53,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582151,101 54,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582152,101 55,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582153,101 56,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582154,101 58,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582155,101 59,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582156,102 04,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582157,102 14,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582158,102 15,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582159,102 16,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
582160,102 17,213,SE,1551,AB,,STOCKHOLM,full,,,se-zipcode,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
