id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
598502,1000,201,SI,4270,061,,Ljubljana,full,46.05645090,14.50807020,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598503,1001,201,SI,4270,061,,Ljubljana,full,46.08354780,14.51257680,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598504,1210,201,SI,,,,Ljubljana - Šentvid,full,46.10443380,14.45259710,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598505,1211,201,SI,,,,Ljubljana - Šmartno,full,46.13025690,14.47906700,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598506,1215,201,SI,4349,071,,Medvode,full,46.14139260,14.41134700,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598507,1216,201,SI,,,,Smlednik,full,46.16645350,14.43377900,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598508,1217,201,SI,4154,138,,Vodice,full,46.18966430,14.49385400,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598509,1218,201,SI,4283,164,,Komenda,full,46.20528150,14.53916530,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598510,1219,201,SI,,,,Laze v Tuhinju,full,46.21888990,14.76036270,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598511,1221,201,SI,,,,Motnik,full,46.21466100,14.88496430,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598512,1222,201,SI,,,,Trojane,full,46.18840960,14.88397040,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598513,1223,201,SI,,,,Blagovica,full,46.17621230,14.80363810,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598514,1225,201,SI,,,,Lukovica,full,46.16962930,14.69072590,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598515,1230,201,SI,4159,023,,Domžale,full,46.14194170,14.59441710,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598516,1231,201,SI,,,,Ljubljana - Črnuče,full,46.10083090,14.55585220,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598517,1233,201,SI,4159,023,,Dob,full,46.15152260,14.62806620,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598518,1234,201,SI,4348,072,,Mengeš,full,46.16591220,14.57196940,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598519,1235,201,SI,4159,023,,Radomlje,full,46.17357730,14.61136690,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598520,1236,201,SI,4334,186,,Trzin,full,46.13633990,14.56168780,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598521,1241,201,SI,4180,043,,Kamnik,full,46.22219640,14.60729680,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598522,1242,201,SI,,,,Stahovica,full,46.26998420,14.60620560,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598523,1251,201,SI,4168,077,,Moravče,full,46.13572180,14.74443520,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598524,1252,201,SI,,,,Vače,full,46.11954100,14.83790840,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598525,1260,201,SI,,,,Ljubljana - Polje,full,46.05793770,14.58612910,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598526,1261,201,SI,,,,Ljubljana - Dobrunje,full,46.03114520,14.60502000,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598527,1262,201,SI,4173,022,,Dol pri Ljubljani,full,46.08843860,14.64247920,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598528,1270,201,SI,4347,060,,Litija,full,46.05923050,14.82660150,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598529,1272,201,SI,,,,Polšnik,full,46.06838860,14.96104220,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598530,1273,201,SI,,,,Dole pri Litiji,full,46.02966350,15.02179210,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598531,1274,201,SI,,,,Gabrovka,full,46.00002030,14.98706800,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598532,1275,201,SI,4279,194,,Šmartno pri Litiji,full,46.04574370,14.84100580,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598533,1276,201,SI,,,,Primskovo,full,45.97183310,14.91038790,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598534,1281,201,SI,,,,Kresnice,full,46.10210640,14.78539760,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598535,1282,201,SI,,,,Sava,full,46.08887420,14.89254020,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598536,1290,201,SI,4336,032,,Grosuplje,full,45.95576450,14.65889900,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598537,1291,201,SI,4187,123,,Škofljica,full,45.98596510,14.57219030,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598538,1292,201,SI,4286,037,,Ig,full,45.95882130,14.52827180,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598539,1293,201,SI,,,,Šmarje - Sap,full,45.97439530,14.61704900,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598540,1294,201,SI,,,,Višnja Gora,full,45.95493670,14.74397540,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
598541,1295,201,SI,4305,039,,Ivančna Gorica,full,45.93958410,14.80476260,postcode-si,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
