id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
599024,010 01,200,SK,4359,ZI,,Mojš,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599025,010 04,200,SK,4359,ZI,,Bitarová,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599026,013 01,200,SK,4359,ZI,,Teplička nad Váhom,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599027,013 02,200,SK,4359,ZI,,Gbeľany,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599028,013 03,200,SK,4359,ZI,,Krasňany,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599029,013 04,200,SK,4359,ZI,,Dolná Tižina,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599030,013 05,200,SK,4359,ZI,,Belá,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599031,013 06,200,SK,4359,ZI,,Horná Tižina,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599032,013 11,200,SK,4359,ZI,,Lietavská Lúčka,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599033,013 12,200,SK,4359,ZI,,Turie,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599034,013 13,200,SK,4359,ZI,,Konská,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599035,013 14,200,SK,4359,ZI,,Kamenná Poruba,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599036,013 15,200,SK,4359,ZI,,Fačkov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599037,013 18,200,SK,4359,ZI,,Lietava,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599038,013 19,200,SK,4359,ZI,,Jasenové,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599039,013 22,200,SK,4359,ZI,,Rosina,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599040,013 23,200,SK,4359,ZI,,Višňové,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599041,013 24,200,SK,4359,ZI,,Nezbudská Lúčka,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599042,013 25,200,SK,4359,ZI,,Stráňavy,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599043,013 31,200,SK,4359,ZI,,Divina,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599044,013 32,200,SK,4359,ZI,,Dlhé Pole,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599045,013 41,200,SK,4359,ZI,,Dolný Hričov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599046,013 42,200,SK,4359,ZI,,Horný Hričov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599047,013 51,200,SK,4359,ZI,,Maršová-Rašov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599048,013 52,200,SK,4359,ZI,,Jablonové,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599049,013 53,200,SK,4359,ZI,,Petrovice,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599050,013 54,200,SK,4359,ZI,,Babiše,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599051,013 55,200,SK,4359,ZI,,Predjastrabie,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599052,013 56,200,SK,4359,ZI,,Hvozdnica,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599053,013 61,200,SK,4359,ZI,,Buková,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599054,013 62,200,SK,4359,ZI,,Dolinky,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599055,014 01,200,SK,4359,ZI,,Beňov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599056,015 01,200,SK,4359,ZI,,Malá Čierna,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599057,017 01,200,SK,4358,TC,,Sverepec,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599058,017 05,200,SK,4358,TC,,Kostolec,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599059,018 01,200,SK,4358,TC,,Prosné,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599060,018 02,200,SK,4358,TC,,Besné,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599061,018 03,200,SK,4358,TC,,Belejov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599062,018 12,200,SK,4358,TC,,Brvnište,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599063,018 13,200,SK,4358,TC,,Papradno,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599064,018 15,200,SK,4358,TC,,Bodiná,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599065,018 16,200,SK,4358,TC,,Domaniža,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599066,018 17,200,SK,4358,TC,,Jasenica,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599067,018 21,200,SK,4358,TC,,Dolný Lieskov,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599068,018 22,200,SK,4358,TC,,Briestenné,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599069,018 26,200,SK,4358,TC,,Plevník - Drienové,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599070,018 31,200,SK,4358,TC,,Kopec,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599071,018 32,200,SK,4358,TC,,Košecké Rovné,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599072,018 35,200,SK,4358,TC,,Horná Poruba,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599073,018 41,200,SK,4358,TC,,Dubnica nad Váhom,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599074,018 51,200,SK,4358,TC,,Malý Kolačín,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
599075,018 52,200,SK,4358,TC,,Bohunice,full,,,psc-json,,2026-04-28T06:49:19,2026-04-28T06:49:19,1
