id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
833251,10001,203,SO,920,NU,,Garowe,full,8.40660000,48.48440000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833252,10002,203,SO,920,NU,,Garowe,full,8.40660000,48.48440000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833253,1001,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833254,1002,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833255,1003,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833256,1004,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833257,1005,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833258,1006,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833259,1007,203,SO,927,BN,,Mogadishu,full,2.04690000,45.31820000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833260,11001,203,SO,926,BY,,Baidoa,full,3.11480000,43.64770000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833261,11002,203,SO,926,BY,,Baidoa,full,3.11480000,43.64770000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833262,11003,203,SO,926,BY,,Baidoa,full,3.11480000,43.64770000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833263,12001,203,SO,928,GE,,Kaarani,full,3.70000000,40.31670000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833264,12002,203,SO,928,GE,,Kaarani,full,3.70000000,40.31670000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833265,13001,203,SO,917,BK,,Garissa,full,4.47000000,43.64000000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833266,14001,203,SO,920,NU,,Eyl,full,7.98300000,49.18300000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833267,15001,203,SO,5699,SO,,Lascaanood,full,9.40000000,45.40000000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833268,15002,203,SO,5699,SO,,Lascaanood,full,9.40000000,45.40000000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
833269,15003,203,SO,5699,SO,,Taleh,full,9.20000000,45.20000000,somali-postal-code-explorer,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
