id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
838213,100,216,TW,3422,TPE,,"Zhongzheng Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838214,103,216,TW,3422,TPE,,"Datong Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838215,104,216,TW,3422,TPE,,"Zhongshan Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838216,105,216,TW,3422,TPE,,"Songshan Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838217,106,216,TW,3422,TPE,,"Da’an Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838218,108,216,TW,3422,TPE,,"Wanhua Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838219,110,216,TW,3422,TPE,,"Xinyi Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838220,111,216,TW,3422,TPE,,"Shilin Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838221,112,216,TW,3422,TPE,,"Beitou Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838222,114,216,TW,3422,TPE,,"Neihu Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838223,115,216,TW,3422,TPE,,"Nangang Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838224,116,216,TW,3422,TPE,,"Wenshan Dist., Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838225,200,216,TW,4965,KEE,,"Ren’ai Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838226,201,216,TW,4965,KEE,,"Xinyi Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838227,202,216,TW,4965,KEE,,"Zhongzheng Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838228,203,216,TW,4965,KEE,,"Zhongshan Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838229,204,216,TW,4965,KEE,,"Anle Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838230,205,216,TW,4965,KEE,,"Nuannuan Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838231,206,216,TW,4965,KEE,,"Qidu Dist., Keelung City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838232,207,216,TW,4966,NWT,,"Wanli Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838233,208,216,TW,4966,NWT,,"Jinshan Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838234,209,216,TW,3420,LIE,,"Nangan Township, Lienchiang County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838235,210,216,TW,3420,LIE,,"Beigan Township, Lienchiang County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838236,211,216,TW,3420,LIE,,"Juguang Township, Lienchiang County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838237,212,216,TW,3420,LIE,,"Dongyin Township, Lienchiang County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838238,220,216,TW,4966,NWT,,"Banqiao Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838239,221,216,TW,4966,NWT,,"Xizhi Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838240,222,216,TW,4966,NWT,,"Shenkeng Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838241,223,216,TW,4966,NWT,,"Shiding Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838242,224,216,TW,4966,NWT,,"Ruifang Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838243,226,216,TW,4966,NWT,,"Pingxi Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838244,227,216,TW,4966,NWT,,"Shuangxi Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838245,228,216,TW,4966,NWT,,"Gongliao Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838246,231,216,TW,4966,NWT,,"Xindian Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838247,232,216,TW,4966,NWT,,"Pinglin Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838248,233,216,TW,4966,NWT,,"Wulai Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838249,234,216,TW,4966,NWT,,"Yonghe Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838250,235,216,TW,4966,NWT,,"Zhonghe Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838251,236,216,TW,4966,NWT,,"Tucheng Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838252,237,216,TW,4966,NWT,,"Sanxia Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838253,238,216,TW,4966,NWT,,"Shulin Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838254,239,216,TW,4966,NWT,,"Yingge Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838255,241,216,TW,4966,NWT,,"Sanchong Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838256,242,216,TW,4966,NWT,,"Xinzhuang Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838257,243,216,TW,4966,NWT,,"Taishan Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838258,244,216,TW,4966,NWT,,"Linkou Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838259,247,216,TW,4966,NWT,,"Luzhou Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838260,248,216,TW,4966,NWT,,"Wugu Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838261,249,216,TW,4966,NWT,,"Bali Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838262,251,216,TW,4966,NWT,,"Tamsui Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838263,252,216,TW,4966,NWT,,"Sanzhi Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838264,253,216,TW,4966,NWT,,"Shimen Dist., New Taipei City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838265,260,216,TW,3402,ILA,,"Yilan City, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838266,261,216,TW,3402,ILA,,"Toucheng Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838267,262,216,TW,3402,ILA,,"Jiaoxi Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838268,263,216,TW,3402,ILA,,"Zhuangwei Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838269,264,216,TW,3402,ILA,,"Yuanshan Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838270,265,216,TW,3402,ILA,,"Luodong Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838271,266,216,TW,3402,ILA,,"Sanxing Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838272,267,216,TW,3402,ILA,,"Datong Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838273,268,216,TW,3402,ILA,,"Wujie Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838274,269,216,TW,3402,ILA,,"Dongshan Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838275,270,216,TW,3402,ILA,,"Su’ao Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838276,272,216,TW,3402,ILA,,"Nan’ao Township, Yilan County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838277,290,216,TW,3402,ILA,,Diaoyutai,full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838278,300,216,TW,3417,HSZ,,"East Dist., Hsinchu City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838279,300,216,TW,3417,HSZ,,"North Dist., Hsinchu City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838280,300,216,TW,3417,HSZ,,"Xiangshan Dist., Hsinchu City",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838281,302,216,TW,5705,HSQ,,"Zhubei City, Hsinchu County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838282,303,216,TW,5705,HSQ,,"Hukou Township, Hsinchu County",full,,,chunghwa-post-via-eagle-tw-open-data,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
