id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
838584,21101,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838585,21102,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838586,21103,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838587,21104,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838588,21105,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838589,21106,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838590,21107,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838591,21108,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838592,21109,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838593,21110,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838594,21111,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838595,21112,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838596,21113,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838597,21114,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838598,21115,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838599,21116,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838600,21117,218,TZ,1487,25,,"Central, Tanga Cbd",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838601,21201,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838602,21202,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838603,21203,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838604,21204,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838605,21205,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838606,21206,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838607,21207,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838608,21208,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838609,21209,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838610,21210,218,TZ,1487,25,,"Tangasisi, Tanga",full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
838611,21301,218,TZ,1487,25,,Pangani,full,,,tanzania-napa-via-msuluzya,,2026-05-24T12:02:12,2026-05-24T12:02:12,1
