id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
654632,100000,240,VN,,,,Hà Nội,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654633,160000,240,VN,3768,66,,Hưng Yên,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654634,170000,240,VN,3783,HP,,Hải Dương,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654635,180000,240,VN,,,,Hải Phòng,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654636,200000,240,VN,,,,Quảng Ninh,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654637,220000,240,VN,3791,56,,Bắc Giang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654638,240000,240,VN,3792,09,,Lạng Sơn,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654639,250000,240,VN,3807,69,,Thái Nguyên,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654640,260000,240,VN,3778,59,,Bạc Liêu,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654641,270000,240,VN,4925,CT,,Cần Thơ,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654642,280000,240,VN,,,,Vĩnh Phúc,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654643,290000,240,VN,,,,Phú Thọ,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654644,300000,240,VN,3795,07,,Tuyên Quang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654645,310000,240,VN,3795,07,,Hà Giang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654646,320000,240,VN,3817,02,,Yên Bái,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654647,330000,240,VN,3817,02,,Lào Cai,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654648,350000,240,VN,3801,68,,Hoà Bình,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654649,360000,240,VN,3812,05,,Sơn La,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654650,390000,240,VN,,,,Lai Châu,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654651,390000,240,VN,,,,Điện Biên,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654652,400000,240,VN,,,,Hà Nam,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654653,410000,240,VN,3768,66,,Thái Bình,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654654,420000,240,VN,3786,18,,Nam Định,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654655,430000,240,VN,3786,18,,Ninh Bình,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654656,440000,240,VN,3771,21,,Thanh Hóa,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654657,460000,240,VN,,,,Nghệ An,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654658,480000,240,VN,3816,23,,Hà Tĩnh,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654659,510000,240,VN,,,,Quảng Bình,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654660,520000,240,VN,,,,Quảng Trị,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654661,530000,240,VN,,,,Thừa Thiên Huế,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654662,550000,240,VN,,,,Đà Nẵng,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654663,560000,240,VN,,,,Quảng Nam,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654664,570000,240,VN,3828,29,,Quảng Ngãi,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654665,580000,240,VN,3828,29,,Kon Tum,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654666,590000,240,VN,,,,Bình Dương,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654667,600000,240,VN,,,,Gia Lai,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654668,620000,240,VN,,,,Phú Yên,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654669,630000,240,VN,,,,Đắk Lắk,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654670,640000,240,VN,,,,Đắk Nông,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654671,650000,240,VN,,,,Khánh Hòa,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654672,660000,240,VN,,,,Ninh Thuận,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654673,670000,240,VN,,,,Lâm Đồng,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654674,700000,240,VN,,,,Hồ Chí Minh,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654675,790000,240,VN,,,,Bà Rịa - Vũng Tàu,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654676,790000,240,VN,3791,56,,Bắc Ninh,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654677,800000,240,VN,,,,Bình Thuận,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654678,810000,240,VN,,,,Đồng Nai,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654679,820000,240,VN,,,,Bình Định,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654680,830000,240,VN,,,,Bình Phước,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654681,840000,240,VN,3826,37,,Tây Ninh,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654682,850000,240,VN,,,,Long An,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654683,860000,240,VN,,,,Tiền Giang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654684,870000,240,VN,,,,Đồng Tháp,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654685,880000,240,VN,,,,An Giang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654686,890000,240,VN,3790,49,,Vĩnh Long,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654687,900000,240,VN,3782,04,,Cao Bằng,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654688,910000,240,VN,,,,Hậu Giang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654689,920000,240,VN,,,,Kiên Giang,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654690,930000,240,VN,3790,49,,Bến Tre,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654691,940000,240,VN,3790,49,,Trà Vinh,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654692,950000,240,VN,4925,CT,,Sóc Trăng,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654693,960000,240,VN,3807,69,,Bắc Kạn,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654694,970000,240,VN,3778,59,,Cà Mau,full,,,vnpost-via-navuitag,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
