id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
654697,0001,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654698,0002,204,ZA,936,GP,,PRETORIA,street,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654699,0003,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654700,0004,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654701,0005,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654702,0006,204,ZA,,,,ATTERIDGEVILLE,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654703,0006,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654704,0007,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654705,0008,204,ZA,,,,ATTERIDGEVILLE,street,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654706,0008,204,ZA,,,,ATTERIDGEVILLE,full,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654707,0008,204,ZA,,,,ATTERIDGEVILLE,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654708,0008,204,ZA,936,GP,,PRETORIA,street,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654709,0009,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654710,0010,204,ZA,,,,GLENSTANTIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654711,0010,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654712,0011,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654713,0012,204,ZA,936,GP,,PRETORIA,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
654714,0014,204,ZA,936,GP,,CENTURION,po_box,,,sapo-via-raramuridesign,,2026-04-28T06:49:22,2026-04-28T06:49:22,1
